User_id,Cos_id,rating
0,100,3.3
0,127,0.2
0,178,1.1
0,185,3.1
0,187,1.5
0,214,3.3
0,218,4.9
0,227,4.7
0,239,2.3
0,241,4.8
0,245,1.5
0,251,1.5
0,254,4.1
0,256,2.2
0,261,2.5
0,262,2.8
0,278,3
0,280,0.9
0,301,3
0,313,1.4
0,319,2.8
0,328,3.8
0,389,1.4
0,390,0
0,415,3.8
0,433,4.3
0,434,1.1
0,461,3.4
0,504,4.4
0,507,3.8
0,612,1.8
0,622,2.1
0,629,1.3
0,631,0.6
0,646,2.5
0,659,3.6
0,665,1.8
0,678,2.3
0,679,0.2
0,710,3.4
0,716,1.3
0,811,3.4
0,815,2.9
0,867,5
0,872,3
0,874,1.2
0,888,3.7
0,911,3.9
0,918,3.6
0,927,2.6
0,935,4.4
0,937,4.8
0,965,0.2
0,976,1.9
0,982,1.3
0,992,4.2
0,1005,0.3
0,1029,4.9
0,1039,2
0,1051,2.3
0,1061,0.2
0,1068,1.6
0,1081,2.8
0,1140,0.2
0,1172,0.1
0,1179,3.2
0,1237,5
0,1261,3.9
0,1315,1.3
0,1327,2.6
0,1376,3.5
0,1403,4.9
0,1464,2.7
0,1470,4.9
0,1486,2.3
0,1487,4
0,1504,4.5
0,1513,2.7
0,1535,2
0,1542,2.3
0,1560,5
0,1572,4.1
0,1593,3.7
0,1606,0.7
0,1625,3.9
0,1632,1.7
0,1648,3.5
0,1659,0.3
0,1720,4.3
0,1773,0.3
0,1775,1.7
0,1794,2.7
0,1798,2.3
0,1808,3.3
0,1822,0.6
0,1912,3.7
0,1923,0
0,1941,0.3
0,1950,0.6
0,1956,0.4
0,1963,2.1
0,1992,2.6
0,2028,5
0,2035,4.6
0,2041,1.9
0,2081,2.7
0,2085,0.8
0,2086,2.8
0,2091,4.7
0,2129,3
0,2149,3.8
0,2160,0.7
0,2178,0.6
0,2179,4.3
0,2190,0.9
0,2215,3.2
0,2231,2.2
0,2251,3.2
0,2302,0.7
0,2306,2.1
0,2308,2.5
0,2316,0.4
0,2320,2.7
0,2333,2.6
0,2355,4
0,2389,4.7
0,2395,0.9
0,2408,1.4
0,2418,3.3
0,2463,4
0,2508,1.4
0,2509,1.9
0,2515,4.7
0,2523,0.5
0,2579,2.1
0,2584,3.1
0,2608,4.4
0,2617,1.2
0,2618,0.7
0,2634,3.4
0,2679,4.5
0,2689,2.2
0,2712,3.9
0,2734,0.5
0,2814,3.1
0,2832,1.6
0,2837,0.7
0,2839,1.2
0,2849,2.9
0,2857,1.7
0,2862,3.9
0,2868,0.7
0,2890,3.3
0,2899,0.6
0,2904,3.4
0,2920,1.1
0,2934,2
0,2936,4.7
0,2956,1.2
0,2973,2.3
0,2977,3.2
0,3043,4.8
0,3046,2.8
0,3064,4.8
0,3095,1.7
0,3111,0.9
0,3114,2.7
0,3132,0.5
0,3140,3.8
0,3177,2.4
0,3215,3
0,3228,4.1
0,3258,3.9
0,3314,4.2
0,3334,4.1
0,3341,2.1
0,3348,0.8
0,3373,4.6
0,3387,4.3
0,3406,2.4
0,3423,3.7
0,3466,0.6
0,3475,4.1
0,3497,0.8
0,3531,1.6
0,3539,3.7
0,3556,3.7
0,3606,4.7
0,3639,1.8
0,3645,4.3
0,3666,2.7
