ID,name,product_type,price,rating
132,28PO Brush,Eye,140.4,0
151,24SS Brush,Face,93.7,0
265,Perfect Length & Define Mascara,Lengthening,139.1,0
367,Buffer Blush 154 Brush,Face,119.8,0
370,Double-ended Sculpting 158 Brush,Face,120.5,0
397,Precision Highlighter 144 Brush,Face,131.8,0
447,#136 False Eyelashes,False Eyelashes,78.2,0
543,Flawless Definition Waterproof Mascara,Lengthening,95.6,0
550,SPF 30 Natural Sunscreen,Powder,134.2,0
561,Baby Buki,Face,26.3,0
648,Cream Shadow,Eye,71.5,0
677,Remove It Makeup Remover,Makeup Remover,47.9,0
758,Fast Freeze Quick Dry,Fast Dry Coat,75.3,0
868,Nail Rescue,Treatment,43.6,0
904,Fluent Extra Strength Conditioning Lacquer Remover,Polish Remover,28.6,0
916,Instinctual Sand Scrub,Exfoliators & Scrubs,106.6,0
917,Lacquer Lock Basecoat,Base Coat,35.8,0
924,Protein Boost Moisture Repair for Brittle Nails,Treatment,26.7,0
939,Daydreamer,False Eyelashes,132.2,0
1027,Dualistic Eye Pencil,Pencil,60.1,0
1053,Ultra Hydration Eye Mask Duo,Hydrating,135.1,0
1086,Big & Healthy Lip Polish â?��?Diamond,Lipgloss,77,0
1115,Faux Tan Sunless Tanner,Self-Tanner,115.2,0
1116,Glycare Lotion,Lotion,149.6,0
1117,Hand & Body CrÃ¨me,Cream,71,0
1152,Blush Horizon de Chanel,Powder,131.5,0
1154,Body Excellence Firming and Rejuvenating Cream,Cream,88.1,0
1155,Body Excellence Nourishing and Rejuvenating Hand Cream,Cream,68.5,0
1156,Body Moisture,Cream,15.8,0
1157,Body Stain,Cream,96,0
1158,Brompton Road Poudre Tissee Highlighting Powder,Powder,83.5,0
1159,Coco Noir,Fragrance,11.4,0
1160,Crayon Sourcils Sculpting Eyebrow Pencil,Pencil,82.9,0
1162,Chance,Fragrance,50.2,0
1177,#6 Foundation,Face,100.5,0
1222,Mouche de Beaute Illuminating Powder,Powder,95.1,0
1227,Poudre Douce Soft Pressed Powder,Pressed Setting,33.1,0
1276,Capture Totale Instant Eye Rescue Treatment,Eye Cream,141.2,0
1281,Capture Totale Multi-Perfection Eye Treatment,Eye Cream,99.8,0
1282,Capture Totale Multi-Perfection Makeup Base SPF 25 PA++,Lotion,133.4,0
1283,Capture Totale Multi-Perfection UV Base SPF 50 PA+++,Lotion,28.7,0
1284,Capture Totale Nuit,Cream,106.1,0
