id,kyungdo,wedo,name,address
1,126.958049,37.507126,CAU UNIV,서울특별시 동작구 흑석로 84
2,126.963532,37.508871,HeukSeok Subway,서울특별시 동작구 현충로 90
3,126.94782,37.50294,Sangdo Subway,서울특별시 동작구 상도로 272
4,126.95739,37.496335,Soongsil UNIV,서울특별시 동작구 상도로 369
5,126.939065,37.504847,JangSeongBaegi Subway,서울특별시 동작구 상도로 188
6,126.9500243,37.5134202,Nodle Subway,서울특별시 동작구 노량진로 238
7,126.9546069,37.5049373,HeukSeok Park,서울특별시 동작구 서달로 1
8,126.9517723,37.5084392,Noryangjin Park,서울특별시 동작구 안양로 3
9,126.9394813,37.5140762,Noryangjin Subway,서울특별시 동작구 노량진로 151
10,126.9389692,37.5116501,Dongjag-gu Office,서울특별시 동작구 장승배기로 161
